,album_id,artist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,chart_position,monthly_listeners,followers,playcount
0,4PrPbmm0gKvaD3rerOXFg8,0NbfKEOTQCcwd6o7wSDOHI,Hate It Or Love It,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,audio_features,2wGSgTmgSF3xjRrHkTc25R,spotify:track:2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/tracks/2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/audio-analysis/2wGSgTmgSF3xjRrHkTc25R,206400,4,484,10878473,3971123,311475802
1,4PrPbmm0gKvaD3rerOXFg8,0NbfKEOTQCcwd6o7wSDOHI,How We Do,0.862,0.648,4,-7.401,0,0.251,0.0455,0.0,0.0332,0.637,98.012,audio_features,4PmMVdIFpJTB9WQbmILf4p,spotify:track:4PmMVdIFpJTB9WQbmILf4p,https://api.spotify.com/v1/tracks/4PmMVdIFpJTB9WQbmILf4p,https://api.spotify.com/v1/audio-analysis/4PmMVdIFpJTB9WQbmILf4p,235533,4,484,10878473,3971123,271944522
2,7dRdaGSxgcBdJnrOviQRuB,5me0Irg2ANcsgc93uaYrpb,Hypnotize - 2014 Remaster,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,audio_features,7KwZNVEaqikRSBSpyhXK2j,spotify:track:7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827,4,241,17096076,7630210,700587098
3,7dRdaGSxgcBdJnrOviQRuB,5me0Irg2ANcsgc93uaYrpb,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,audio_features,4INDiWSKvqSKDEu7mh8HFz,spotify:track:4INDiWSKvqSKDEu7mh8HFz,https://api.spotify.com/v1/tracks/4INDiWSKvqSKDEu7mh8HFz,https://api.spotify.com/v1/audio-analysis/4INDiWSKvqSKDEu7mh8HFz,257400,4,241,17096076,7630210,343968617
4,7zg9ZSOQtYLjWnvSawflg6,5me0Irg2ANcsgc93uaYrpb,Notorious B.I.G. (feat. Lil' Kim & Puff Daddy) - 2005 Remaster,0.904,0.826,1,-2.372,0,0.272,0.0531,0.0,0.214,0.824,101.35,audio_features,1YQ7BbJR8HqAolfprvxGKu,spotify:track:1YQ7BbJR8HqAolfprvxGKu,https://api.spotify.com/v1/tracks/1YQ7BbJR8HqAolfprvxGKu,https://api.spotify.com/v1/audio-analysis/1YQ7BbJR8HqAolfprvxGKu,191600,4,241,17096076,7630210,40910824
5,7q2B4M5EiBkqrlsNW8lB7N,6DPYiyq5kWVQS4RGwxzPC7,Still D.R.E.,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4,200,19238545,7223331,912362823
6,7q2B4M5EiBkqrlsNW8lB7N,6DPYiyq5kWVQS4RGwxzPC7,The Next Episode,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,4LwU4Vp6od3Sb08CsP99GC,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4,200,19238545,7223331,647876022
7,6vdFSyhPjL4dZFkgRtToXH,6DPYiyq5kWVQS4RGwxzPC7,"Nuthin' But A ""G"" Thang",0.801,0.699,11,-8.18,0,0.279,0.00575,0.0,0.146,0.655,94.605,audio_features,4YtoipFgf4k0AfD17ZfD5X,spotify:track:4YtoipFgf4k0AfD17ZfD5X,https://api.spotify.com/v1/tracks/4YtoipFgf4k0AfD17ZfD5X,https://api.spotify.com/v1/audio-analysis/4YtoipFgf4k0AfD17ZfD5X,238467,4,200,19238545,7223331,194260349
8,74iv82AYPjxyWpGbt9LNuP,6DPYiyq5kWVQS4RGwxzPC7,Keep Their Heads Ringin',0.671,0.737,0,-5.131,1,0.108,0.0338,0.00344,0.0596,0.197,90.519,audio_features,1rylJ0VXvhOzLGNm401iaI,spotify:track:1rylJ0VXvhOzLGNm401iaI,https://api.spotify.com/v1/tracks/1rylJ0VXvhOzLGNm401iaI,https://api.spotify.com/v1/audio-analysis/1rylJ0VXvhOzLGNm401iaI,310227,4,200,19238545,7223331,93593368
9,4Y9ISbppFbwk0r1XCLUi0I,1ZwdS5xdxEREPySFridCfh,Changes,0.865,0.657,7,-6.722,1,0.076,0.0404,0.0,0.14,0.316,111.115,audio_features,00i2HU7TEzzftShjRrDSEF,spotify:track:00i2HU7TEzzftShjRrDSEF,https://api.spotify.com/v1/tracks/00i2HU7TEzzftShjRrDSEF,https://api.spotify.com/v1/audio-analysis/00i2HU7TEzzftShjRrDSEF,268960,4,211,18828047,12805849,358859699
